Agemos,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
208.5,17.50518327,17.8875079,18.52702984,19.76277767,21.46461026,23.68032771,25.18285645,26.37407203,28.48716074,30.15677367
209.5,17.54950683,17.9330594,18.57454772,19.81375546,21.51952414,23.73869794,25.24234842,26.4336772,28.54512548,30.21163837
210.5,17.59356252,17.97833773,18.62178578,19.8644493,21.57417053,23.79686967,25.30172632,26.49326098,28.60329919,30.26696403
211.5,17.63733676,18.02332903,18.66872998,19.91484586,21.62853937,23.85484139,25.36099716,26.55283865,28.66171476,30.32279966
212.5,17.68081585,18.06801933,18.71536617,19.96493169,21.68262062,23.91261174,25.42016826,26.6124259,28.72040572,30.37919514
213.5,17.72398595,18.11239453,18.76168008,20.01469327,21.73640419,23.97017953,25.47924723,26.67203887,28.77940629,30.43620115
214.5,17.76683315,18.15644042,18.80765734,20.06411699,21.78988003,24.02754374,25.538242,26.73169411,28.8387513,30.49386923
215.5,17.80934323,18.20014256,18.8532834,20.11318921,21.84303819,24.08470367,25.59716095,26.79140871,28.89847621,30.55225152
216.5,17.85150219,18.24348662,18.89854373,20.16189615,21.8958685,24.14165845,25.65601244,26.85119991,28.9586172,30.61140148
217.5,17.89329472,18.28645727,18.94342321,20.21022414,21.94836168,24.19840866,25.71480629,26.91108626,29.0192108,30.67137176
218.5,17.93470899,18.32904183,18.98790813,20.25815885,22.00050569,24.25495098,25.77354888,26.97108394,29.08029503,30.73222122
219.5,17.97572809,18.37122369,19.03198262,20.3056868,22.05229242,24.31128792,25.83225207,27.03121333,29.14190734,30.79400211
220.5,18.01633608,18.41298696,19.07563119,20.35279433,22.10371305,24.36742097,25.89092687,27.09149434,29.20408599,30.85676906
221.5,18.05651989,18.45431794,19.11883943,20.39946695,22.15475603,24.42334799,25.94958116,27.15194482,29.26687079,30.92058278
222.5,18.09626344,18.49520062,19.16159172,20.44569089,22.20541249,24.47907063,26.00822631,27.21258528,29.33030127,30.9855
223.5,18.13555112,18.53561932,19.2038726,20.49145219,22.255673,24.53458985,26.06687321,27.27343608,29.39441777,31.05157949
224.5,18.17436706,18.57555819,19.24566649,20.53673687,22.30552831,24.58990692,26.1255331,27.33451796,29.45926122,31.1188808
225.5,18.21269512,18.61500111,19.28695764,20.581531,22.3549693,24.64502338,26.18421759,27.39585208,29.52487306,31.18746427
226.5,18.25051886,18.65393178,19.32773023,20.62582066,22.40398706,24.69994107,26.24293861,27.45746001,29.59129532,31.25739102
227.5,18.28782254,18.69233437,19.36796858,20.66959159,22.45257182,24.75466075,26.30170723,27.51936283,29.65857091,31.32872478
228.5,18.3245866,18.73019025,19.40765581,20.71283095,22.50071778,24.80918852,26.36053932,27.58158516,29.72674204,31.40152344
229.5,18.36079565,18.7674838,19.44677624,20.75552409,22.54841437,24.86352415,26.41944523,27.64414785,29.79585303,31.47585441
230.5,18.39643137,18.80419732,19.48531336,20.79765756,22.59565422,24.91767166,26.47843912,27.70707459,29.86594782,31.55178078
231.5,18.43147564,18.84031318,19.52325062,20.83921773,22.64242956,24.97163459,26.53753478,27.77038891,29.93707103,31.62936748
232.5,18.46590991,18.87581348,19.56057136,20.88019106,22.68873292,25.02541685,26.59674639,27.83411475,30.00926778,31.7086802
233.5,18.49971524,18.91067999,19.59725875,20.9205641,22.73455713,25.07902274,26.65608851,27.89827645,30.08258369,31.78978539
234.5,18.53287228,18.9448942,19.63329582,20.96032349,22.7798953,25.13245693,26.71557609,27.96289869,30.15706484,31.87275025
235.5,18.56536124,18.97843726,19.66866547,20.99945599,22.82474087,25.18572453,26.77522448,28.0280066,30.23275779,31.95764272
236.5,18.59716016,19.0112887,19.70334974,21.03794885,22.86908912,25.23883315,26.83505132,28.09362697,30.30970901,32.04452853
